1714056277.945644 client started (41856): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1714056277.945758 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Fri Mar 15 00:12:41 PDT 2024; root:xnu-10063.101.17~1/RELEASE_ARM64_T8103
1714056277.946140 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1714056277.946173 flags are 0x18010000
1714056277.946183 socket is /private/tmp/tmux-501/default
1714056277.946197 trying connect
1714056277.946254 add peer 0x150028000: 6 (0x0)
1714056277.949615 sending message 100 to peer 0x150028000 (4 bytes)
1714056277.949649 sending message 111 to peer 0x150028000 (8 bytes)
1714056277.949661 sending message 101 to peer 0x150028000 (15 bytes)
1714056277.949671 sending message 109 to peer 0x150028000 (4 bytes)
1714056277.949680 sending message 102 to peer 0x150028000 (13 bytes)
1714056277.949689 sending message 108 to peer 0x150028000 (26 bytes)
1714056277.949698 sending message 112 to peer 0x150028000 (58 bytes)
1714056277.949705 sending message 112 to peer 0x150028000 (5 bytes)
1714056277.949712 sending message 112 to peer 0x150028000 (5 bytes)
1714056277.949720 sending message 112 to peer 0x150028000 (6 bytes)
1714056277.949727 sending message 112 to peer 0x150028000 (6 bytes)
1714056277.949735 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.949743 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.949752 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949760 sending message 112 to peer 0x150028000 (14 bytes)
1714056277.949768 sending message 112 to peer 0x150028000 (19 bytes)
1714056277.949777 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.949785 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.949794 sending message 112 to peer 0x150028000 (15 bytes)
1714056277.949802 sending message 112 to peer 0x150028000 (21 bytes)
1714056277.949810 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949819 sending message 112 to peer 0x150028000 (7 bytes)
1714056277.949827 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949835 sending message 112 to peer 0x150028000 (7 bytes)
1714056277.949844 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949852 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.949860 sending message 112 to peer 0x150028000 (21 bytes)
1714056277.949869 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949878 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.949886 sending message 112 to peer 0x150028000 (16 bytes)
1714056277.949894 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949903 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.949911 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.949919 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.949927 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.949936 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.949944 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.949952 sending message 112 to peer 0x150028000 (7 bytes)
1714056277.949960 sending message 112 to peer 0x150028000 (7 bytes)
1714056277.949969 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.949978 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.949986 sending message 112 to peer 0x150028000 (15 bytes)
1714056277.949995 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950003 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950011 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950020 sending message 112 to peer 0x150028000 (14 bytes)
1714056277.950028 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950036 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.950045 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950053 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950061 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950070 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950078 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950102 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950107 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950112 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950117 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950123 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950129 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950135 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950141 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950147 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950153 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950159 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950165 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950171 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.950177 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950183 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950189 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950195 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950201 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950207 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950212 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950218 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950224 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950229 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950235 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950241 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950247 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950253 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950260 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950265 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950272 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950279 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950284 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950290 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950296 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950302 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950308 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950313 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950318 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950324 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950329 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950335 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950342 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950347 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950353 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950359 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950365 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950371 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950377 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950382 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950388 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950395 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950401 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950407 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950413 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950419 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950426 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950431 sending message 112 to peer 0x150028000 (13 bytes)
